"id";"tweet";"date";"username"
"1131600404985335808";"just finished homodeus by the great yuval noah harari _yuval his writings have certainly helped me unders ";2019-05-23 16:38:55;"KimWhatleyWrite"
"1131600369954492417";"not a chance be voting for labour party it s a vote for  revokea50 remain change your leader change ";2019-05-23 16:38:46;"damobullimore"
"1131600346852331520";"good news for the spring housingmarket in the uk will  help continue this boost ";2019-05-23 16:38:41;"CorinnePulitzer"
"1131600326463819776";"so glad to be back in barnsley if i never go to bloody northampton again it will be too soon now voting time ";2019-05-23 16:38:36;"Rosanna_Duggan"
"1131600279110115333";"can t believe corbyn tweeted this but we all knew he was a eer all along well done jeremy even if you are a ";2019-05-23 16:38:25;"ThePoliticalBe2"
"1131600248688861184";"please get out amp vote for a pro  party today thank you ukip";2019-05-23 16:38:18;"Shazza1uk"
"1131600243882176512";"is this even legal or do eu citizens have to vote in the home country by postal vote wasn t it different pre br ";2019-05-23 16:38:16;"ayoalli"
"1131600241281708032";"well if  is going to carry on i m opening a milkshake parlour have to make money while the going is good ";2019-05-23 16:38:16;"UkADRIAN"
"1131600241051013121";"_farage _uk me amp the wife just voted for you guys ";2019-05-23 16:38:16;"nightboat81"
"1131600150315569153";"just like the house of commons then  ";2019-05-23 16:37:54;"johncornelius01"
"1131600113485385728";"tickets are now live for our immersive  comedy that lets you ask the big questions we ll be in the american ";2019-05-23 16:37:45;"ChaosTheoryTHTR"
"1131600111400828931";" and the people behind  party would be behind it";2019-05-23 16:37:45;"ISayPorter"
"1131600107823149057";"how many people have been turned away at polling station despite being registered and or received polling cards i ";2019-05-23 16:37:44;"markcjclemence"
"1131600106011205635";"i see politics live is doing a hatchet job on  well done jo co bonuses all round everyone interviewed ";2019-05-23 16:37:44;"Chris33davies"
"1131600092329381888";" euelections2019 last push with the aberdream team my final thoughts on a windy huntly street ";2019-05-23 16:37:40;"AberdeenKusznir"
"1131600089422671874";"_georgebarker the future s bright the future s  vote hopenothate vote ";2019-05-23 16:37:40;"cmj1953"
"1131600079897464833";" just want to say not all remainers are scum i voted remain but fully respect the will of the majority ";2019-05-23 16:37:37;"TomPayn39512330"
"1131600049924919296";" euelections2019 is a chance to tell ukgov citizen s have had enough of  do you know what the eu has done for you ";2019-05-23 16:37:30;"Social_equality"
"1131599996200083456";"have i seen some radicalised remainers are comparing the  party to the nazis the nazis came to power becaus ";2019-05-23 16:37:17;"Gary_P_Jackson"
"1131599935118499840";" denied their vote well they have had long enough to sort their votes out oh sorry it the fault of ";2019-05-23 16:37:03;"Meadowuk"
"1131599890050637824";"as predicted the business of  has rendered the uk government incapable of governing the uk ";2019-05-23 16:36:52;"DavidLearmount"
"1131599866600337408";"_georgebarker the future s bright the future s  vote ";2019-05-23 16:36:46;"cmj1953"
"1131599860262744066";" the amp _may have lied deceived tried to undermine a democratic ";2019-05-23 16:36:45;"MoRoL89"
"1131599822878855168";" the government lent british steel 120m last month so it could pay a carbon emissions bill and avoid a fi ";2019-05-23 16:36:36;"ACMeinde"
"1131599810824474625";"the tolerant remainers showing their tolerance by attacking and intimidating anyone who they disagree with remain ";2019-05-23 16:36:33;"SteveTomo3"
"1131599805816430593";"i worked in the uk for 2 years and experienced the bureaucratic irrational tyranny of the eu actually overriding ";2019-05-23 16:36:32;"chrisayers327"
"1131599802167377920";"lots of pro  voices gleefully blaming non british eu citizens for deniedmyvote never mind multiple council ";2019-05-23 16:36:31;"WTBDavidG"
"1131599793556471810";"in 2017 he was re elected on a  pledge he sabotaged  in westminster no confidence vote by his constit ";2019-05-23 16:36:29;"LauraMK20"
"1131599787323777025";"  party meetng nigel s scared of milkshake what shall we do let s pour strawberry yoghurt down one of our ";2019-05-23 16:36:28;"ISayPorter"
"1131599750166470657";"le pen and salvini have pulled back from frexit and italexit i wonder why they ve seen the  mess obviousl ";2019-05-23 16:36:19;"NasCostomano"
"1131599748379664384";"i honestly think farage will win because all the racists will vote him or ukip however not all the votes will b ";2019-05-23 16:36:18;"AngryLittleMan1"
"1131599699536949255";"i think my dog may have inadvertently solved the  blue passport debate they should look like this ";2019-05-23 16:36:07;"irishscouse"
"1131599670659231745";"today i vote libdem in my opinion the stronger remain party not that my vote will ever count in my constituenc ";2019-05-23 16:36:00;"claudichap"
"1131599654477549568";" splitting the vote will hand seats to the party and an argument to the govt that ";2019-05-23 16:35:56;"harrison_alan"
"1131599643605897216";"ps sorry for the rant normally i don t go into this stuff but it seems farcical what our government on all sides s ";2019-05-23 16:35:53;"granettalia"
"1131599611548917760";" maybe got himself a little over excited on all those carry on films we can remake after  like in the good olde days";2019-05-23 16:35:46;"GJDavies001"
"1131599592850636801";" a bigger irony is that the main driver of  regional inequality will likely increase over th ";2019-05-23 16:35:41;"jacobbrookman"
"1131599549645111296";" probably another  related casualty";2019-05-23 16:35:31;"ElCarlosL"
"1131599544666525698";"jean claude juncker lashes out at citizens for being in love with their own countries heaven forbid people s ";2019-05-23 16:35:30;"SteveSteinbach"
"1131599543261376513";"brussels rejects fraudulent claim used in election video ex minister s claim about eu boast over ";2019-05-23 16:35:29;"ELarrissy"
"1131599541810159617";"will be heading out to moscow tomorrow for the long weekend to celebrate 20 years of our bookclubquite a time re ";2019-05-23 16:35:29;"BooksvCiggies"
"1131599466686013442";"listening to and talk about  in the past you both thought it would be over by now ";2019-05-23 16:35:11;"MattEyebrowz"
"1131599457391382528";"leavers complain that the eu isn t democratic while all about them people in the uk are being denied their right to ";2019-05-23 16:35:09;"BananasBrexit"
"1131599422901641219";"will the eu even survive eurosceptic parties set to make big gains in u  euelections2019 ";2019-05-23 16:35:01;"Cybrarian64"
"1131599386272657413";"fever pitch just before the eu election results boom of support for  wwg1wga unitednotdivided bringing ";2019-05-23 16:34:52;"wavetossed"
"1131599353938948096";"  farage farage promised people they could vote  without suffering economically because we d get a de ";2019-05-23 16:34:44;"daveretset"
"1131599311005995009";" unfortunately polly the plebs voted for  i know you don t like them but this is how democracy works";2019-05-23 16:34:34;"johnboyetc"
"1131599195075436545";" you had your chance to deliver  we should of left on march 29thbut you and your ";2019-05-23 16:34:06;"magenta199"
"1131599185940230144";"theresa may isn t planning to go anywhere or at least that s what one source close to the pm says follow yet a ";2019-05-23 16:34:04;"dzuidijk"
"1131599085268557825";"just another joke if you are not on the electoral register you cannot vote to everyone not registered it is your ";2019-05-23 16:33:40;"wesedmund"
"1131599018113589248";"1 i have run 6 polls in last few days covering economic policy through to political leaders although  and ";2019-05-23 16:33:24;"KarlMarxUpgrade"
"1131598971636523008";"how did you vote today  remain in wales ";2019-05-23 16:33:13;"stephen501"
"1131598959577841664";"just voted in my first eu election hopefully not the last and i m so optimistic that the will win all six ";2019-05-23 16:33:10;"kyleahoy1"
"1131598921636229120";"_ yes it s very disappointing theparty would have got many more  votes with the eu cit ";2019-05-23 16:33:01;"FreemocracyU"
